STATION CODE,LOCATIONS,STATE,LATITUDE,LONGITUDE,YEAR,mean_temp,Qi_temp,WiQi_temp,mean_ph,Qi_ph,WiQi_ph,mean_conductivity,Qi_conductivity,WiQi_conductivity,mean_bod,Qi_bod,WiQi_bod,mean_nitratenitrite,Qi_nitratenitrite,WiQi_nitratenitrite,mean_fecalcoliform,Qi_fecalcoliform,WiQi_fecalcoliform,WQI
2313,"SARVODAPURAM, ALAPPUZHA",KERALA,9.555005,76.317595,2014,28,112,11.2,7.8,53.33333333,5.866666667,249,99.6,0.3984,1.1,18.33333333,2.016666667,0,0,0,320,1600,256,275.4817333
2314,KUREEPUZHA (KOLLAM),KERALA,8.918216,76.574302,2014,24,96,9.6,6.4,-40,-4.4,205,82,0.328,1.2,20,2.2,2.5,1.25,0.125,160,800,128,135.853
2315,K.M.M.L. (KOLLAM),KERALA,8.893212,76.61414,2014,24,96,9.6,7.9,60,6.6,488,195.2,0.7808,1.9,31.66666667,3.483333333,1.7,0.85,0.085,111,555,88.8,109.3491333
2316,CHELLORA TRENCHING GROUND (KANNUR),KERALA,11.891269,75.425732,2014,27.5,110,11,5.2,-120,-13.2,63,25.2,0.1008,1,16.66666667,1.833333333,1.2,0.6,0.06,15,75,12,11.79413333
2317,PUNNALPETTIPPALAM (TELLICHERRY MUNICIPALITY,KERALA,11.753288,75.492878,2014,27.5,110,11,6,-66.66666667,-7.333333333,313,125.2,0.5008,1,16.66666667,1.833333333,5.5,2.75,0.275,2,10,1.6,7.8758
2320,MANJERI,KERALA,11.120298,76.119968,2014,29,116,11.6,6.6,-26.66666667,-2.933333333,237,94.8,0.3792,0.5,8.333333333,0.916666667,2.1,1.05,0.105,11,55,8.8,18.86753333
2321,LALOOR (THRISSUR),KERALA,10.51249,76.185619,2014,30,120,12,6.7,-20,-2.2,280,112,0.448,1.9,31.66666667,3.483333333,4.1,2.05,0.205,170,850,136,149.9363333
2322,OLLUR (THRISSUR),KERALA,10.480662,76.242119,2014,29.5,118,11.8,5.2,-120,-13.2,208,83.2,0.3328,53.2,886.6666667,97.53333333,2.3,1.15,0.115,155,775,124,220.5811333
2323,BRAHMAPURAM M.S.W. DUMPARK (ERNAKULAM),KERALA,10.000969,76.378781,2014,27.6,110.4,11.04,5.8,-80,-8.8,299,119.6,0.4784,0.9,15,1.65,5.5,2.75,0.275,740,3700,592,596.6434
2324,HAZARDOUS WASTE DUMP (AMBALAMUGHAL),KERALA,9.961011,76.37038,2014,27.8,111.2,11.12,7,0,0,157,62.8,0.2512,1.9,31.66666667,3.483333333,0.4,0.2,0.02,7,35,5.6,20.47453333
2327,KARUKAMANI,KERALA,10.695066,76.722486,2014,30,120,12,7,0,0,885,354,1.416,0.8,13.33333333,1.466666667,1.8,0.9,0.09,245,1225,196,210.9726667
3463,"WELL AT VELLIPARAMBA, KOZHEKODE",KERALA,11.270934,75.846133,2014,27.5,110,11,6.2,-53.33333333,-5.866666667,105,42,0.168,0.6,10,1.1,2.7,1.35,0.135,180,900,144,150.5363333
3472,"WELL OF TEMPLE PARASSINIKADAVU, KANNUR",KERALA,11.982476,75.402153,2014,29,116,11.6,7.6,40,4.4,831,332.4,1.3296,0.9,15,1.65,1.8,0.9,0.09,4,20,3.2,22.2696
3474,"WELL AT PAYANOOR, KANNUR",KERALA,12.115069,75.215834,2014,28.5,114,11.4,7.4,26.66666667,2.933333333,186,74.4,0.2976,1.4,23.33333333,2.566666667,2.3,1.15,0.115,4,20,3.2,20.5126
3475,"WELL AT KARIMBAM, KANNUR",KERALA,12.044617,75.390275,2014,27,108,10.8,6.2,-53.33333333,-5.866666667,110,44,0.176,1,16.66666667,1.833333333,2,1,0.1,0,0,0,7.042666667
2449,"VILLAGE RINGANWADA, DAMAN",DAMAN & DIU,20.411921,72.872896,2014,31,124,12.4,6.9,-6.666666667,-0.733333333,2358,943.2,3.7728,8,133.3333333,14.66666667,6.8,3.4,0.34,5,25,4,34.44613333
2452,"VILLAGE KACHIGAM, DAMAN",DAMAN & DIU,20.383917,72.883989,2014,32,128,12.8,7,0,0,1580,632,2.528,7,116.6666667,12.83333333,9.4,4.7,0.47,10,50,8,36.63133333
1985,"Dug well at 5 -Star Industrial estate, Village-Kashimira Taluka- Mira-  Bhayander District-Thane ",MAHARASHTRA,19.26666667,72.86666667,2014,22,88,8.8,7.9,60,6.6,1385,554,2.216,5,83.33333333,9.166666667,1.7,0.85,0.085,20,100,16,42.86766667
1986,Bore well at Village- Motapada Taluka- Dahanu District- Thane,MAHARASHTRA,19.68333333,72.76666667,2014,29,116,11.6,8.5,100,11,699,279.6,1.1184,5.6,93.33333333,10.26666667,0.6,0.3,0.03,15,75,12,46.01506667
1987,Bore well Village-Gokhiware Taluka- Vasai District- Thane ,MAHARASHTRA,19.41666667,72.85,2014,22,88,8.8,7.8,53.33333333,5.866666667,608,243.2,0.9728,5,83.33333333,9.166666667,1,0.5,0.05,30,150,24,48.85613333
1988,"Bore well at Gharatwadi, Village- Aliyali Taluka- Palghar District- Thane",MAHARASHTRA,19.68333333,72.76666667,2014,29,116,11.6,8.5,100,11,871,348.4,1.3936,5.2,86.66666667,9.533333333,0.6,0.3,0.03,14,70,11.2,44.75693333
1989,"Bore well at MWML site, Village-Karawla, Taloja Taluka- Panvel District- Raigad",MAHARASHTRA,19.1,72.11666667,2014,28,112,11.2,7,0,0,90,36,0.144,4,66.66666667,7.333333333,1.4,0.7,0.07,12,60,9.6,28.34733333
1993, Dug Well,MAHARASHTRA,19.83333333,72.25,2014,28,112,11.2,7.4,26.66666667,2.933333333,1016,406.4,1.6256,3,50,5.5,0.2,0.1,0.01,2,10,1.6,22.86893333
1999,"Bore well Near Gram Panchayat office. Village-Changera, Taluka- Gondia, District- Gondia.",MAHARASHTRA,21.58333333,80.25,2014,28,112,11.2,8.3,86.66666667,9.533333333,555,222,0.888,6,100,11,1.1,0.55,0.055,60,300,48,80.67633333
2001,"Tube well at water treatment plant of.Achalpur M.C, near Post Office. Village-Paratwada, Taluka- Achalpur, District- Amravati",MAHARASHTRA,21.3,77.51666667,2014,25,100,10,8.6,106.6666667,11.73333333,567,226.8,0.9072,6,100,11,43,21.5,2.15,30,150,24,59.79053333
2200, Bore Well,MAHARASHTRA,19.51666667,75.4,2014,29,116,11.6,7.8,53.33333333,5.866666667,928,371.2,1.4848,4,66.66666667,7.333333333,0.1,0.05,0.005,2,10,1.6,27.8898
